Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1729516424.3942335,17497,1729516423,941123213,imu,-0.028870536544500808,-0.008117930994542511,0.2078922779504646,-0.9776918697036235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12555555555555556,-0.08888888888888889,-1.6433333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,-1.93,-6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3947325,17498,1729516423,952444999,imu,-0.028381088888651172,-0.009399328363123184,0.22381387732190075,-0.9741732467779814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2388888888888889,0.0022222222222222222,-1.6733333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,2.14,-0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3951075,17499,1729516423,963390910,imu,-0.029114567700924788,-0.008972413945568017,0.23218409965265804,-0.9721946212585535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19111111111111112,-0.09777777777777778,-1.8111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,-0.14,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.3954325,17500,1729516423,973205292,imu,-0.02911311024206402,-0.007201985342900533,0.24071720502033647,-0.9701318391983388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11888888888888889,-0.41,-1.8411111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.83,2.89,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.396956,17501,1729516423,985641071,imu,-0.02911311024206402,-0.007201985342900533,0.24071720502033647,-0.9701318391983388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11888888888888889,-0.41,-1.8411111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,1.23,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4078932,17502,1729516423,992463429,imu,-0.029174545912870213,-0.0074462230154187575,0.25726090172123,-0.9658727804836216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09222222222222222,-0.24444444444444444,-1.8166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,2.03,-1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.419252,17503,1729516424,3764767,imu,-0.02960114446251885,-0.008422593682118765,0.2653727342742927,-0.9636545771519796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06111111111111111,0.18222222222222223,-1.7755555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.36,1.46,-0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4194105,17504,1729516424,16707141,imu,-0.029907697572511036,-0.009155417624238072,0.27344180637724375,-0.9613798866624925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.10888888888888888,-1.7677777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.68,-0.18,-1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4274101,17505,1729516424,25150056,imu,-0.02978515547329156,-0.009582519281366341,0.28131102782049344,-0.9591064203018516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666666,0.03888888888888889,-1.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,1.76,-2.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4492075,17506,1729516424,32571395,imu,-0.02978515547329156,-0.009582519281366341,0.28131102782049344,-0.9591064203018516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666666,0.03888888888888889,-1.7344444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,-0.59,-0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4492726,17507,1729516424,47870940,imu,-0.029235893809790733,-0.009277360874923155,0.29711968907319686,-0.9543474647388056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0022222222222222222,-0.10444444444444445,-1.7322222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71,-0.6,-1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4493008,17508,1729516424,58448112,imu,-0.030333679959235468,-0.01007053761222103,0.3048016050632232,-0.951879421819389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.18666666666666668,-1.6922222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.51,2.56,-1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4493492,17509,1729516424,68864162,imu,-0.03204318492811205,-0.010925200194537249,0.31188699996695723,-0.9495158627174077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31555555555555553,0.2511111111111111,-1.5722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.39,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4494133,17510,1729516424,74967379,imu,-0.031249342914441078,-0.009460250296363997,0.3188409519239066,-0.9472457070939951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03888888888888889,-0.3888888888888889,-1.5322222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.24,6.39,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4494789,17511,1729516424,82563087,imu,-0.031249342914441078,-0.009460250296363997,0.3188409519239066,-0.9472457070939951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03888888888888889,-0.3888888888888889,-1.5322222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.11,5.63,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.449507,17512,1729516424,91184179,imu,-0.02954094761504005,-0.008178692108296214,0.325438703891309,-0.9450661836183475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2222222222222222,-0.41555555555555557,-1.458888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.04,-2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4495475,17513,1729516424,102901264,imu,-0.027221142795237692,-0.011718518871492459,0.3380670626520663,-0.9406552752470926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45555555555555555,0.15222222222222223,-1.4244444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,3.55,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4495955,17514,1729516424,117615716,imu,-0.027587923049907523,-0.01318360924508855,0.34448282675592495,-0.9382945598367884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0077777777777777776,0.27666666666666667,-1.4422222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,0.5,-5.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4496558,17515,1729516424,124883294,imu,-0.02807577746729114,-0.013488580044068135,0.3508861840422973,-0.9358999384422659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.07555555555555556,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,-0.47,-5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.449719,17516,1729516424,134363689,imu,-0.02807577746729114,-0.013488580044068135,0.3508861840422973,-0.9358999384422659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10666666666666667,0.07555555555555556,-1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,2.12,5.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4498024,17517,1729516424,141708067,imu,-0.029296538310865504,-0.012206890962860626,0.35711259511848764,-0.9335219863847665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36333333333333334,-0.2011111111111111,-1.3911111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76,1.1,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4498527,17518,1729516424,154655306,imu,-0.02972413875535704,-0.012207038503226712,0.36694357740699496,-0.9296880524057464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,-0.19111111111111112,-1.2455555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.34,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.449907,17519,1729516424,166152837,imu,-0.02978435177905036,-0.013244271180438376,0.3703513249903229,-0.9283196527855655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04666666666666667,0.18666666666666668,-0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,-1.8,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1729516424.4499276,17520,1729516424,173785217,imu,-0.02941883665054042,-0.012878370400962715,0.3738389512127802,-0.9269374942152642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02666666666666667,-0.12333333333333334,-0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.04,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
