time,batch_size,batch_mean_reward,batch_min_reward,batch_max_reward,batch_done_count,episodes_completed_total,transitions_total,replay_buffer_size
93.478,32,0.30204114681109784,0.13870768845081333,0.43376491889357566,0,270,47600,47600
93.481,32,0.12835415191366337,-0.21040592044591905,0.36944508999586106,0,270,47632,47632
93.593,32,0.2008797497030173,0.046872991696000066,0.3343681050464511,0,270,47664,47664
93.596,32,0.01407610339811071,-0.37364371716976164,0.1260311856865883,0,270,47696,47696
93.707,32,0.1325098048965856,-0.04879730120301248,0.2692962698638439,0,270,47728,47728
93.71,32,0.10351950287586079,-0.06350813638418915,0.3102000571787357,0,270,47760,47760
93.826,32,0.07537367336917669,-0.12335470393300058,0.2080609180033207,0,270,47792,47792
93.829,32,0.2287839883705601,0.06830085664987565,0.337686175853014,0,270,47824,47824
93.965,32,0.17195341798505978,0.06247107163071633,0.2599225635174662,0,270,47856,47856
93.968,32,0.07898519491536717,-0.15450646579265598,0.26084282621741295,0,270,47888,47888
93.969,32,0.13503969276371208,-0.12335832789540294,0.2618468780070543,0,270,47920,47920
94.083,32,0.1218788925370518,-0.22312983796000482,0.26564896632917223,0,270,47952,47952
94.189,32,0.09732630454818716,-0.07230930626392365,0.2377780422568321,0,270,47984,47984
94.192,32,0.3518675943423659,0.17406518282368783,0.48172386884689333,0,270,48016,48016
94.299,32,0.36868767719715834,0.14908298267982903,0.5164473552256823,0,270,48048,48048
94.3,32,0.17791146062081678,0.013484743796288945,0.2764854788780212,0,270,48080,48080
94.411,32,0.023489164520287882,-0.1809756927192211,0.11213478893041612,0,270,48112,48112
94.414,32,-0.007976670318748802,-0.2733639031648636,0.10933852810412645,0,270,48144,48144
94.521,32,0.04370354123529977,-0.5327053233981133,0.1885860577225685,0,270,48176,48176
94.524,32,0.019611167427501637,-0.10510500818490984,0.10348980091512203,0,270,48208,48208
94.632,32,0.12682197987596738,-0.037270035594701795,0.2651354856789112,0,270,48240,48240
94.633,32,0.06679175219032912,-0.1167715087532997,0.22738684061914682,0,270,48272,48272
94.742,32,0.1539510305636213,-0.01823749765753746,0.3466158676892519,0,270,48304,48304
94.745,17,0.3623365894288701,0.25685072001069786,0.4566959869116545,1,271,48321,48321
94.859,32,0.07557445349521004,-0.4331001419574022,0.29016739055514335,0,271,48353,48353
94.861,32,0.19586144809891265,0.056427336670458295,0.34538539201021196,0,271,48385,48385
94.863,32,0.1658921318638022,-0.012819320335984263,0.25532818799838425,0,271,48417,48417
94.972,32,0.043019656998512804,-0.16315399855375287,0.19139949483796953,0,271,48449,48449
95.082,32,0.10608698126816306,-0.17428359799087045,0.22364321444183585,0,271,48481,48481
95.085,32,0.12384705255390145,0.02114699110388754,0.24342451812699434,0,271,48513,48513
95.189,32,0.15176763543220204,0.03419373221695421,0.3011963628232479,0,271,48545,48545
95.191,32,0.3737362937506987,0.1894939200486988,0.49321744367480275,0,271,48577,48577
95.316,32,0.3322266165967448,0.09921644013375044,0.5080008756369353,0,271,48609,48609
95.32,32,0.12713541273842566,-0.11208082884550097,0.3220686301589012,0,271,48641,48641
95.427,32,0.08820590228024229,0.016401159949600702,0.1907346149906516,0,271,48673,48673
95.43,32,-0.010892941633937885,-0.29872202426195144,0.17946899719536305,0,271,48705,48705
95.547,32,0.0645297770955949,-0.21945156427100299,0.18528163265436887,0,271,48737,48737
95.55,32,0.04201494245571666,-0.06784374490380288,0.1858156256377697,0,271,48769,48769
95.712,32,0.146844665062963,-0.12079364508390428,0.285314617305994,0,271,48801,48801
95.715,32,0.07237776488036615,-0.075920856744051,0.1718984555453062,0,271,48833,48833
95.715,32,0.2769028973591048,0.09434072263538837,0.43054679203778506,0,271,48865,48865
95.824,32,0.24642485341173598,-0.2646276172250509,0.48708188012242315,0,271,48897,48897
95.827,32,0.16462861140234963,-0.051444697799161054,0.26093896701931957,0,271,48929,48929
95.942,32,0.05099693100200966,-0.08039696961641313,0.19255615249276162,0,271,48961,48961
96.053,32,0.16936674213939112,-0.007321632280945789,0.28756798123940824,0,271,48993,48993
96.056,32,0.07911566974580636,-0.15910961255431177,0.28614333644509315,0,271,49025,49025
96.165,32,0.07385246970225126,-0.04718083962798118,0.20452437326312065,0,271,49057,49057
96.167,32,0.23435508608235978,0.12761686891317367,0.34770601186028216,0,271,49089,49089
96.274,32,0.16033047987584723,0.06410417709266766,0.2466440822929144,0,271,49121,49121
96.277,32,0.0587591434828937,-0.18364733457565308,0.21426244657486676,0,271,49153,49153
96.384,32,0.12024791947696939,-0.058737173676490784,0.265553729981184,0,271,49185,49185
96.387,32,0.08737474766085143,-0.13264581151306631,0.22752912770956757,0,271,49217,49217
96.495,32,0.09839953839864392,-0.13164058448746802,0.21231574527919295,0,271,49249,49249
96.498,32,0.29406536860042254,0.1245103020220995,0.43070783093571663,0,271,49281,49281
96.604,32,0.40354061716934664,0.20942344740033147,0.4961710057221353,0,271,49313,49313
96.606,32,0.19853365170420145,-0.06297272149240601,0.35516430623829365,0,271,49345,49345
96.72,32,0.07283634521677412,-0.09675752338953317,0.18790450483793392,0,271,49377,49377
96.725,32,0.06172304859537689,-0.19932055026292803,0.18510642759501933,0,271,49409,49409
96.839,32,0.016876075803884297,-0.237261563539505,0.2026420757174492,0,271,49441,49441
96.841,32,0.036449747614096854,-0.14821950867772102,0.14394959434866905,0,271,49473,49473
96.949,32,0.14674881634018677,0.0033638900145888384,0.2815068415016867,0,271,49505,49505
96.952,32,0.07876237010350451,-0.021566653996706042,0.15075465552508832,0,271,49537,49537
97.055,32,0.2888001341358176,0.06209597922861576,0.4278981940820813,0,271,49569,49569
97.058,32,0.25015015216777103,-0.014468819927424159,0.47211102358996865,0,271,49601,49601
97.171,32,0.20836116455730008,0.06232690438628197,0.31067739889840595,0,271,49633,49633
97.174,32,0.03295405159151414,-0.5100531503558159,0.20912621971219778,0,271,49665,49665
97.283,32,0.14407558625243838,0.025340169668197632,0.28272784990258515,0,271,49697,49697
97.286,32,0.10469753421130007,-0.04775966327870268,0.27270799353718755,0,271,49729,49729
97.398,32,0.09091554860667657,-0.05441332906484603,0.23009361596778033,0,271,49761,49761
97.401,32,0.22527584482087376,0.11397497802972795,0.3402588989585638,0,271,49793,49793
97.512,32,0.15264986443362433,0.00037772785872219883,0.2355016121640801,0,271,49825,49825
97.515,32,0.08805665891777606,-0.20988724529743197,0.22276009524648543,0,271,49857,49857
97.622,32,0.12616950678784633,-0.08536811545491219,0.2404216201975942,0,271,49889,49889
97.624,32,0.0962515796723892,-0.08628808287903666,0.19296880178153514,0,271,49921,49921
97.732,32,0.13239289765479043,0.05888233408331872,0.22236724980175498,0,271,49953,49953
97.847,32,0.33356801607878883,0.20059016421437262,0.45243065468966964,0,271,49985,49985
97.85,32,0.3537030245632195,0.0916025418788195,0.5017428368330001,0,271,50017,50017
97.955,32,0.20845785199198874,-0.10757628679275516,0.38030827790498734,0,271,50049,50049
97.98,5,-3.0926176810836403,-16.17967748074512,0.2141930848360062,1,272,50054,50054
97.981,32,0.045655752669972564,-0.6464961744612083,0.23963946849107742,0,272,50086,50086
98.087,32,0.1827087706165912,-0.04589305743575098,0.3045038301497698,0,272,50118,50118
98.09,32,0.1671813939588901,0.0620096568018198,0.2585397556424141,0,272,50150,50150
98.09,32,0.07302618371249991,-0.20698623210191727,0.27660814151167873,0,272,50182,50182
98.203,32,0.08648347508860753,-0.5772941187024117,0.27026227228343486,0,272,50214,50214
98.316,32,0.12132496051417546,-0.011386664211750053,0.23614243865013124,0,272,50246,50246
98.319,32,0.12328257842455058,-0.12190838530659673,0.24463957957923413,0,272,50278,50278
98.429,32,0.346300802029873,0.21182334199547767,0.48128234148025517,0,272,50310,50310
98.431,32,0.34152124094907776,0.10462895818054674,0.48163177426904435,0,272,50342,50342
98.542,32,0.13290621091364302,-0.06915891394019125,0.29622873812913897,0,272,50374,50374
98.545,32,0.05928622805222403,-0.11961006019264464,0.1677294611930847,0,272,50406,50406
98.664,32,0.022989793027227274,-0.18462385088205338,0.1843841977417469,0,272,50438,50438
98.667,32,0.060333826475834934,-0.15199909843504428,0.19864138662815095,0,272,50470,50470
