# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,""[0.0, 0.0, 0.0]""
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
10.04,0.37847596,3.2757945,1.4036834,1.8963177,-7.761993,0.09185903,-0.995772,-7.8739057,-39.7684,0.09579304,0.3284574,15,0.27430058,-1.6462326,1.3036728,0.08586049,1.3006945,7.58056,2.1351664,-0.57049805,0.8336425,1.6644694,0.12191953
10.08,0.33956215,3.2757945,1.6837832,2.1448996,-7.702519,0.15088424,-0.98855144,-7.858441,-39.84519,0.08157001,0.34846482,15,0.38661957,-1.9197464,1.4868498,0.18051416,1.4756303,6.214547,7.002494,-0.3555758,0.5001858,1.9561028,0.09253386
10.12,0.33956215,3.2757945,1.9099411,2.348687,-7.6320953,0.22007006,-0.9754841,-7.836992,-39.93035,0.06579018,0.34490374,15,0.5362272,-2.129078,1.7605901,0.32668412,1.7296456,5.094683,5.6539474,-0.39449576,-0.08902699,2.1948893,0.054534823
10.16,0.33956215,3.2757945,2.0503833,2.5157516,-7.5538664,0.2956303,-0.9553024,-7.8085017,-40.021618,0.04759461,0.3427671,15,0.71225166,-2.2816658,1.9557238,0.5045414,1.889006,4.1766167,3.5110564,-0.45488915,-0.053416193,2.390244,0.005886197
10.2,0.33956215,3.2757945,2.1675196,2.6527112,-7.470332,0.37430716,-0.9273048,-7.7721896,-40.11692,0.029915228,0.3414851,15,0.9078026,-2.3825645,2.088356,0.6999403,1.9669212,3.4239888,2.928406,-0.44198456,-0.032049417,2.5491605,-0.050001264
10.24,0.33956215,3.2757945,2.2714758,2.7649906,-7.382286,0.45439735,-0.8907991,-7.7273707,-40.214317,0.013300204,0.34071591,15,1.120472,-2.4349213,2.2011518,0.9126425,2.002255,2.8069854,2.5989056,-0.41537562,-0.019229949,2.6781652,-0.10830641
10.28,0.33956215,3.2757945,2.3647053,2.8570373,-7.290222,0.5343676,-0.84525216,-7.6735234,-40.311954,-0.0021366598,0.3402544,15,1.3461828,-2.4409294,2.3015976,1.1386738,1.9992567,2.3011684,2.3307383,-0.3859216,-0.011537969,2.7825575,-0.16648972
10.32,0.09016235,3.2757945,2.44855,2.9324973,-7.194559,0.6126605,-0.79034615,-7.610318,-40.408043,-0.016356742,0.3402544,15,1.580131,-2.4022102,2.3915768,1.3726503,1.9573226,1.8864989,2.0961165,-0.35550207,0.0,2.8666615,-0.22288895
10.36,0.09016235,3.2757945,2.3147035,2.9943593,-7.095649,0.6877121,-0.7259835,-7.5376287,-40.50086,-0.03435497,0.2402176,15,1.8172383,-2.320385,2.4727583,1.6090661,1.8762887,1.5465498,-3.346163,-0.4499557,-2.50092,2.934298,-0.27647173
10.4,0.09016235,2.4977627,1.7813821,3.0450737,-7.0085588,0.74825174,-0.6634149,-7.4563875,-40.58953,-0.052241366,0.18019551,15,2.0310283,-2.216816,2.1772504,1.5642151,1.5134915,1.2678623,-13.3330345,-0.44715992,-1.5005522,2.990389,-0.31132197
10.44,0.09016235,2.4977627,2.254066,2.6846735,-6.9288635,0.79869187,-0.60174024,-7.370971,-40.671215,-0.0738979,0.14418224,15,2.135408,-2.0421028,1.9923806,1.5418664,1.2610034,-9.010005,11.817098,-0.5414133,-0.9003319,2.9343483,-0.34605002
10.48,0.09016235,2.4977627,1.4539138,2.549948,-6.848958,0.8441746,-0.53606826,-7.2900486,-40.73972,-0.08192286,0.12257428,15,2.023065,-1.7126083,1.9976377,1.6417994,1.1370689,-3.3681393,-20.003805,-0.20062402,-0.5401989,2.625895,-0.36123943
10.52,0.09016235,2.4977627,0.92818236,2.5123327,-6.797966,0.8704007,-0.492344,-7.207887,-40.79949,-0.06060324,0.10960951,15,2.0540357,-1.4943123,1.2748003,1.0931067,0.6556526,-0.9403825,-13.143286,0.5329905,-0.32411927,2.5235498,-0.28935838
10.56,-0.020362109,2.4977627,0.7410051,2.5018308,-6.763415,0.88688886,-0.4619828,-7.122843,-40.852814,-0.037326567,0.10183064,15,2.1261096,-1.333046,0.8637786,0.7590301,0.41220337,-0.26254654,-4.679431,0.5819168,-0.1944717,2.5014672,-0.2000376
10.6,-0.020362109,2.4977627,0.5810372,2.4988983,-6.734592,0.8998344,-0.43623173,-7.035329,-40.90128,-0.024329234,0.052953534,15,2.187848,-1.2116432,0.7205725,0.64377636,0.32363832,-0.07331371,-3.9991975,0.32493332,-1.2219276,2.4972582,-0.1358695
10.64,-0.020362109,2.4977627,0.31075597,2.4980795,-6.714381,0.9084666,-0.41795754,-6.946167,-40.946438,-0.019481093,0.023627276,15,2.2290468,-1.1289597,0.5052686,0.4568547,0.21580458,-0.020468235,-6.7570314,0.12120353,-0.73315644,2.496872,-0.09397519
10.68,-0.020362109,2.4977627,0.12763458,2.4978511,-6.704089,0.91272,-0.40858558,-6.8560395,-40.98958,-0.0146002285,0.0060315225,15,2.2531867,-1.0785103,0.25730133,0.23429915,0.10633618,-0.005710125,-4.5780344,0.12202161,-0.43989384,2.4971924,-0.06375831
10.72,-0.020362109,2.4977627,0.017118406,2.4977872,-6.700285,0.9142678,-0.40511048,-6.7653522,-41.031513,-0.010205809,-0.0045259297,15,2.2671819,-1.0483742,0.09510517,0.086877495,0.038693845,-0.0015974045,-2.7629044,0.10986049,-0.2639363,2.4975188,-0.040035605
10.76,-0.020362109,2.4977627,-0.04809341,2.4977696,-6.7003694,0.91423357,-0.40518764,-6.6743803,-41.072823,-0.006780703,-0.010860401,15,2.2742987,-1.0327339,-0.0021100044,-0.0019289553,-0.00085532665,-0.00044107437,-1.6302954,0.085627645,-0.1583618,2.4976912,-0.022642255
10.8,-0.14498912,6.055611,-0.0864803,2.4977648,-6.702746,0.913268,-0.4073592,-6.583308,-41.113907,-0.0043305634,-0.014661084,15,2.276802,-1.0271072,-0.05941391,-0.0542894,-0.024138391,-0.00011920929,-0.9596722,0.06125349,-0.09501707,2.4977322,-0.010547936
10.84,-0.14498912,6.055611,-0.15776697,2.858165,-6.7062287,0.9118437,-0.41053748,-6.4889703,-41.156517,-0.004257422,-0.066792294,15,2.3584485,-1.0652542,-0.087070465,-0.07945672,-0.035607815,9.010005,-1.7821667,0.0018285355,-1.3032802,2.5878634,-0.0031138659
10.88,-0.14498912,6.055611,-0.3661854,3.2185652,-6.714681,0.90834117,-0.41823,-6.381757,-41.20564,-0.0057552974,-0.098071024,15,2.6803374,-1.2280464,-0.21131039,-0.1923129,-0.08756369,9.010005,-5.2104607,-0.037446886,-0.78196824,2.9482667,0.005512476
10.92,-0.14498912,6.055611,-0.5467489,3.5789654,-6.731313,0.9012598,-0.43327907,-6.2620497,-41.26208,-0.0028132084,-0.11683826,15,2.9926777,-1.4110565,-0.415802,-0.37622675,-0.17703474,9.010005,-4.514087,0.07355223,-0.46918094,3.3085613,0.02493608
10.96,-0.14498912,6.055611,-0.66869825,3.9393656,-6.754581,0.89093536,-0.45413017,-6.1302214,-41.32658,0.003915445,-0.1280986,15,3.2957077,-1.6124725,-0.58169365,-0.5212776,-0.25811046,9.010005,-3.0487344,0.16821633,-0.28150862,3.668535,0.06007147
11.0,-0.14498912,6.055611,-0.73400384,4.2997656,-6.7821264,0.8780897,-0.47849602,-5.98668,-41.399887,0.012640836,-0.13485482,15,3.5885334,-1.8326759,-0.6886363,-0.60914606,-0.3211409,9.009999,-1.6326398,0.21813478,-0.1689054,4.0279827,0.10784507
11.04,-0.2845191,6.055611,-0.81785685,4.616169,-6.8125467,0.86312973,-0.5049823,-5.832267,-41.482563,0.021924755,-0.13890854,15,3.8603306,-2.0668983,-0.7605076,-0.66215694,-0.37399977,7.9100847,-2.0963252,0.23209797,-0.1013428,4.3757133,0.16539717
11.08,-0.2845191,6.055611,-1.0184375,4.875557,-6.8466725,0.8453976,-0.53413755,-5.6691585,-41.57451,0.03110651,-0.19715276,15,4.0777087,-2.2986412,-0.8531451,-0.72888136,-0.44330359,6.4846992,-5.0145164,0.22954386,-1.4561057,4.6750755,0.23479164
11.12,-0.2845191,6.055611,-1.4641589,5.0882025,-6.892125,0.8202549,-0.5719982,-5.5000925,-41.675907,0.04396923,-0.2320993,15,4.226649,-2.5349617,-1.1363149,-0.9465158,-0.62856674,5.3161383,-11.143035,0.32156798,-0.87366325,4.916923,0.33832073
11.16,-0.2845191,6.055611,-1.9056942,5.2625294,-6.955715,0.78224814,-0.62296695,-5.3277955,-41.78747,0.067548715,-0.25306723,15,4.307425,-2.789116,-1.5897512,-1.2742192,-0.95016956,4.3581724,-11.0383835,0.58948714,-0.5241983,5.1070023,0.50160265
11.2,-0.2845191,6.0821304,-2.2556324,5.405443,-7.0361085,0.7296932,-0.6837747,-5.1549087,-41.910023,0.09959598,-0.26564798,15,4.322171,-3.063774,-2.0098329,-1.520194,-1.3138741,3.5728455,-8.748454,0.8011816,-0.3145188,5.2487903,0.7197764
11.24,-0.2845191,6.0821304,-2.4883614,5.527382,-7.1292343,0.6629463,-0.748667,-4.98411,-42.04455,0.13559781,-0.27319643,15,4.2699695,-3.3632278,-2.3281455,-1.6223073,-1.6686723,3.0484676,-5.818224,0.9000458,-0.18871129,5.348698,0.9671459
11.28,0.18178074,6.0821304,-2.6627,5.627348,-7.2310076,0.5834531,-0.81214684,-4.818107,-42.192055,0.17163697,-0.2777255,15,4.1500688,-3.6875725,-2.5443316,-1.5869961,-1.9873291,2.4991512,-4.3584647,0.900979,-0.11322647,5.4162207,1.2189395
11.32,0.18178074,6.0821304,-2.530799,5.7093,-7.339288,0.49226797,-0.8704437,-4.659803,-42.353176,0.2095012,-0.14972547,15,3.9576054,-4.028034,-2.7070165,-1.4574214,-2.2796288,2.0488024,3.2975256,0.9466059,3.2000005,5.454379,1.4620004
11.36,0.18178074,6.0821304,-1.5574188,5.7764845,-7.432529,0.40908644,-0.9124956,-4.510952,-42.527218,0.23800145,-0.02172546,15,3.721273,-4.3510437,-2.3310184,-1.0512978,-2.0795383,1.6796112,24.334503,0.7125061,3.2,5.4926305,1.6156921
