# This is F1TENTH simulation from 10.01.2024 at time 14:55:36
# Done with git-revision: unknown
# Starting position :,"[0.0, 0.0, 0.0]"
# Saving: 0.04 s
# Speedfactor 0.5
# Controller: Random input
#
# Data:
time,angular_control,translational_control,angular_vel_z,linear_vel_x,pose_theta,pose_theta_cos,pose_theta_sin,pose_x,pose_y,slip_angle,steering_angle,experiment_index,D_pose_x,D_pose_y,D_pose_theta,D_pose_theta_sin,D_pose_theta_cos,D_linear_vel_x,D_angular_vel_z,D_slip_angle,D_steering_angle,D_car_pose_x,D_car_pose_y
4.28,0.1550943,1.3363409,0.6749327,1.3367642,1.6365906,-0.065746814,0.99783635,52.145863,-26.652023,0.06208597,0.16686484,3,-0.1458168,1.329565,0.7026911,-0.03633946,-0.7017276,-0.027316809,-1.046063,-0.08172039,-0.19617602,1.3362753,0.058086634
4.32,0.38173178,1.3363409,0.650089,1.336459,1.6632589,-0.092330895,0.9957284,52.138725,-26.599035,0.059621163,0.16215661,3,-0.17843246,1.3247013,0.66670775,-0.052699447,-0.66460204,-0.0076293945,-0.6210923,-0.061620213,-0.11770576,1.3355175,0.055359416
4.36,0.38173178,1.3363409,0.8387133,1.3363739,1.6890671,-0.11799526,0.99301416,52.130306,-26.546246,0.068766095,0.24998668,3,-0.21047592,1.3197422,0.6452054,-0.06785542,-0.6416092,-0.0021278858,4.7156067,0.2286233,2.1957517,1.3353578,0.05328223
4.4,0.38173178,1.5220114,1.0975732,1.3363501,1.7259085,-0.15449095,0.9879942,52.1196,-26.49388,0.091256425,0.3026847,3,-0.26769638,1.3091564,0.9210348,-0.12549907,-0.91239214,-0.00059604645,6.4714966,0.56225824,1.3174504,1.3347956,0.06222965
4.44,0.38173178,1.5220114,1.2597388,1.3698062,1.7714695,-0.19932902,0.9799326,52.10565,-26.441936,0.10787442,0.33430353,3,-0.34866333,1.2985706,1.1390239,-0.2015397,-1.1209518,0.8364022,4.054141,0.41544995,0.79047084,1.3420105,0.08282378
4.48,0.38173178,1.5220114,1.3909667,1.3972336,1.8235235,-0.25004545,0.9682341,52.08812,-26.389742,0.11699883,0.35327485,3,-0.43830872,1.3048649,1.3013512,-0.2924621,-1.2679107,0.6856859,3.2806962,0.22811013,0.4742831,1.3730118,0.09810993
4.52,0.38173178,1.5220114,1.479804,1.4197186,1.88029,-0.30457643,0.9524879,52.06704,-26.337744,0.12156924,0.3646576,3,-0.5270004,1.2999535,1.4191628,-0.3936559,-1.3632745,0.56212544,2.2209346,0.11426024,0.28456897,1.3987019,0.10602635
4.56,-0.029610096,1.5220114,1.540338,1.4381517,1.9402473,-0.36110348,0.93252575,52.042435,-26.286366,0.1235921,0.3714873,3,-0.61511993,1.2844563,1.4989316,-0.4990533,-1.4131762,0.46082735,1.51335,0.05057156,0.17074198,1.4199104,0.10979357
4.6,-0.029610096,1.5220114,1.2907779,1.4532632,2.0023897,-0.41831854,0.9083004,52.014343,-26.235998,0.10997673,0.24348727,3,-0.70228577,1.2591839,1.5535593,-0.60563385,-1.4303766,0.37778616,-6.2390027,-0.34038424,-3.2000005,1.4374963,0.11114651
4.64,-0.029610096,1.5220114,0.81009734,1.4656516,2.0489008,-0.46009704,0.88786864,51.984104,-26.186207,0.075241946,0.13424832,3,-0.75597763,1.2447834,1.1627793,-0.5107939,-1.0444627,0.3097117,-12.0170145,-0.86836964,-2.7309737,1.4530272,0.098487675
4.68,-0.029610096,1.5220114,0.4441616,1.4758075,2.0767024,-0.4846002,0.8747358,51.95328,-26.136219,0.044273846,0.06870496,3,-0.77056885,1.2496948,0.69503784,-0.32832175,-0.6125785,0.2538979,-9.148394,-0.77420247,-1.6385838,1.4665706,0.06844181
4.72,-0.029610096,1.5220114,0.21817018,1.4841335,2.091624,-0.49759826,0.8674076,51.92246,-26.085777,0.023460176,0.029378938,3,-0.77056885,1.2610435,0.37304163,-0.18320382,-0.32495186,0.20814836,-5.6497855,-0.52034175,-0.9831506,1.4772725,0.040904224
4.76,-0.029610096,1.5220114,0.08029104,1.4909592,2.0986164,-0.50365126,0.86390704,51.89177,-26.034882,0.010431623,0.005783324,3,-0.767231,1.2723923,0.1748085,-0.08751452,-0.15132502,0.17064214,-3.4469786,-0.3257138,-0.58989036,1.4856455,0.021974266
4.8,-0.092135094,5.785698,-0.00342012,1.4965549,2.1007757,-0.5055156,0.86281747,51.861248,-25.983582,0.00250532,-0.008374044,3,-0.7630348,1.2825012,0.053983927,-0.027239323,-0.046607852,0.1398921,-2.092779,-0.19815758,-0.3539342,1.4922904,0.010035396
4.84,-0.092135094,5.785698,-0.06656282,1.8569548,2.1004987,-0.5052765,0.8629575,51.829094,-25.928864,-0.002683897,-0.04187846,3,-0.8038521,1.3679504,-0.0069260597,0.0035002828,0.0059768558,9.009999,-1.5785674,-0.12973042,-0.8376104,1.5866506,0.0024969578
4.88,-0.092135094,5.785698,-0.18928033,2.217355,2.096534,-0.5018512,0.864954,51.790073,-25.861462,-0.007736508,-0.06198111,3,-0.97551346,1.6850471,-0.099116564,0.04991293,0.0856325,9.010005,-3.0679379,-0.12631527,-0.5025662,1.9470509,-0.0018686652
4.92,-0.092135094,5.785698,-0.29862913,2.5777552,2.0877807,-0.49426088,0.8693136,51.744583,-25.781155,-0.009185885,-0.07404271,3,-1.1372566,2.0076752,-0.2188325,0.10899007,0.18975809,9.010005,-2.73372,-0.03623443,-0.3015399,2.3074007,-0.003682673
4.96,-0.092135094,5.785698,-0.38355342,2.9381554,2.0749006,-0.48302338,0.8756075,51.692955,-25.68776,-0.007426492,-0.081279665,3,-1.2907028,2.3348808,-0.32200217,0.15734732,0.28093755,9.010005,-2.123107,0.043984827,-0.18092394,2.6678786,0.0023469925
5.0,-0.092135094,5.785698,-0.44219396,3.2985556,2.058897,-0.4689492,0.88322514,51.635563,-25.58109,-0.0035055154,-0.085621834,3,-1.434803,2.6667118,-0.40009022,0.19044131,0.3518544,9.010005,-1.4660134,0.09802441,-0.108554214,3.0281565,0.016701698
5.04,0.054982018,5.785698,-0.47687098,3.6589558,2.0408008,-0.45289028,0.8915663,51.572815,-25.460943,0.0015986373,-0.08822714,3,-1.5686989,3.0036926,-0.4524052,0.20852834,0.40147305,9.010005,-0.8669257,0.12760381,-0.0651326,3.3884397,0.03825581
5.08,0.054982018,5.785698,-0.41203082,4.019356,2.02153,-0.43562597,0.90012777,51.50515,-25.327114,0.00859749,-0.030943476,3,-1.6916275,3.345728,-0.48177242,0.2140373,0.43160766,9.009999,1.6210042,0.17497133,1.4320916,3.7484994,0.065194964
5.12,0.054982018,5.785698,-0.16109535,4.3376503,2.0074358,-0.42289662,0.90617794,51.432777,-25.179995,0.014941596,0.0034267195,3,-1.8093109,3.677988,-0.35235286,0.15125424,0.31823367,7.957363,6.2733865,0.15860265,0.8592549,4.0980635,0.084148884
5.16,0.054982018,5.785698,0.07905413,4.598589,2.0035303,-0.4193543,0.90782267,51.356125,-25.021437,0.014638378,0.024048839,3,-1.9163132,3.9639473,-0.09763837,0.041118264,0.088558346,6.523466,6.003737,-0.0075804535,0.515553,4.4021754,0.07737422
5.2,0.054982018,5.33651,0.25694957,4.8125057,2.0086734,-0.4240178,0.90565383,51.27569,-24.853638,0.008849769,0.036422107,3,-2.0109177,4.194975,0.12857914,-0.054220855,-0.11658743,5.3479195,4.4473863,-0.14471523,0.30933172,4.6518598,0.042451262
5.24,0.054982018,5.33651,0.3907104,4.906931,2.0204525,-0.4346559,0.9005966,51.192017,-24.679224,0.00018388499,0.043846074,3,-2.0917892,4.360342,0.29447675,-0.12643039,-0.26595294,2.36063,3.344021,-0.2166471,0.18559918,4.8361177,-0.01139009
